MohawkHudson	October	13	2013	935
MohawkHudson	October	7	2012	924
MohawkHudson	October	9	2011	884
MohawkHudson	October	10	2010	846
MohawkHudson	October	11	2009	724
MohawkHudson	October	12	2008	536
MohawkHudson	October	7	2007	492
MohawkHudson	October	8	2006	421
MohawkHudson	October	9	2005	352
MohawkHudson	October	10	2004	408
MohawkHudson	October	19	2003	450
MohawkHudson	October	13	2002	371
MohawkHudson	October	14	2001	414
MohawkHudson	October	15	2000	549
NewJersey	April	27	2014	2113
NewJersey	May	5	2013	2269
NewJersey	May	6	2012	2304
NewJersey	May	1	2011	1856
NewJersey	May	2	2010	1385
NewJersey	May	3	2009	1730
NewJersey	May	4	2008	1699
NewJersey	April	29	2007	1567
NewJersey	April	30	2006	1419
NewJersey	April	17	2005	1360
NewJersey	April	25	2004	1476
NewJersey	April	27	2003	1312
NewJersey	April	28	2002	1330
NewJersey	April	29	2001	1064
NewJersey	April	30	2000	1151
NewYorkCity	November	3	2013	50062
NewYorkCity	November	6	2011	46536
NewYorkCity	November	7	2010	44704
NewYorkCity	November	1	2009	43250
NewYorkCity	November	2	2008	37790
NewYorkCity	November	4	2007	38557
NewYorkCity	November	5	2006	37936
NewYorkCity	November	6	2005	36872
NewYorkCity	November	7	2004	36513
NewYorkCity	November	2	2003	34729
NewYorkCity	November	3	2002	31824
NewYorkCity	November	4	2001	23648
NewYorkCity	November	5	2000	29327
Ottawa	May	25	2014	5425
Ottawa	May	26	2013	4801
Ottawa	May	27	2012	4178
Ottawa	May	29	2011	4071
Ottawa	May	30	2010	3859
Ottawa	May	24	2009	3449
Ottawa	May	25	2008	3241
Ottawa	May	27	2007	3026
Ottawa	May	28	2006	3243
Ottawa	May	29	2005	3232
Ottawa	May	30	2004	3585
Ottawa	May	11	2003	2576
Ottawa	May	12	2002	2430
Ottawa	May	13	2001	1839
Philadelphia	November	17	2013	10881
Philadelphia	November	18	2012	11641
Philadelphia	November	20	2011	10313
Philadelphia	November	21	2010	8956
Philadelphia	November	22	2009	7475
Philadelphia	November	23	2008	7230
Philadelphia	November	18	2007	6668
Philadelphia	November	19	2006	6119
Philadelphia	November	20	2005	5887
Philadelphia	November	21	2004	6193
Philadelphia	November	23	2003	5354
Philadelphia	November	24	2002	4535
Philadelphia	November	18	2001	3889
Philadelphia	November	19	2000	4252
Portland	October	6	2013	6951
Portland	October	7	2012	6518
Portland	October	9	2011	8461
Portland	October	10	2010	7817
Portland	October	4	2009	8093
Portland	October	5	2008	7856
Portland	October	7	2007	7224
Portland	October	1	2006	7719
Portland	October	9	2005	7201
Portland	October	3	2004	5838
Portland	October	5	2003	7031
Portland	October	6	2002	7091
Portland	September	30	2001	7333
Portland	October	1	2000	7717
Richmond	November	16	2013	4842
Richmond	November	10	2012	4716
Richmond	November	12	2011	3787
Richmond	November	13	2010	3755
Richmond	November	14	2009	3785
Richmond	November	15	2008	2994
Richmond	November	10	2007	3679
Richmond	November	11	2006	2917
Richmond	November	12	2005	3532
Richmond	November	13	2004	3211
Richmond	November	15	2003	2780
Richmond	November	9	2002	2561
Richmond	November	10	2001	1899
Richmond	November	18	2000	2020
Road2Hope	November	3	2013	984
Road2Hope	November	4	2012	1081
Road2Hope	November	6	2011	905
Road2Hope	November	7	2010	1120
Road2Hope	November	1	2009	815
Road2Hope	November	2	2008	489
Road2Hope	November	4	2007	340
RocknRollArizona	January	19	2014	2878
RocknRollArizona	January	20	2013	3223
RocknRollArizona	January	15	2012	3863
RocknRollArizona	January	16	2011	5062
RocknRollArizona	January	17	2010	5691
RocknRollArizona	January	18	2009	6440
RocknRollArizona	January	13	2008	6453
RocknRollArizona	January	14	2007	6942
RocknRollArizona	January	15	2006	7428
RocknRollArizona	January	9	2005	7166
RocknRollArizona	January	11	2004	9482
SantaRosa	August	25	2013	1137
SantaRosa	August	26	2012	537
SantaRosa	August	28	2011	416
SantaRosa	August	29	2010	184
SantaRosa	August	30	2009	-1
StGeorge	October	5	2013	5819
StGeorge	October	6	2012	5696
StGeorge	October	1	2011	5700
StGeorge	October	2	2010	5697
StGeorge	October	3	2009	5618
StGeorge	October	4	2008	5030
StGeorge	October	6	2007	5155
StGeorge	October	7	2006	4761
StGeorge	October	1	2005	4610
StGeorge	October	2	2004	4587
StGeorge	October	4	2003	4433
StGeorge	October	5	2002	4226
StGeorge	October	6	2001	4044
StGeorge	October	7	2000	4153
Steamtown	October	13	2013	2157
Steamtown	October	7	2012	1930
Steamtown	October	9	2011	1859
Steamtown	October	10	2010	1945
Steamtown	October	11	2009	1889
Steamtown	October	12	2008	1573
Steamtown	October	7	2007	1576
Steamtown	October	8	2006	1672
Steamtown	October	9	2005	1426
Steamtown	October	10	2004	1489
Steamtown	October	12	2003	1396
Steamtown	October	13	2002	1354
Steamtown	October	7	2001	1348
Steamtown	October	8	2000	1318
TorontoWaterfront	October	20	2013	3588
TorontoWaterfront	October	14	2012	3242
TorontoWaterfront	October	16	2011	3858
TorontoWaterfront	September	26	2010	2667
TorontoWaterfront	September	27	2009	2846
TorontoWaterfront	September	28	2008	2457
TorontoWaterfront	September	30	2007	2040
TorontoWaterfront	September	24	2006	1841
TorontoWaterfront	September	25	2005	2030
TorontoWaterfront	September	26	2004	1690
TorontoWaterfront	September	28	2003	795
TorontoWaterfront	September	15	2002	581
TwinCities	October	6	2013	8847
TwinCities	October	6	2013	8847
TwinCities	October	7	2012	8781
TwinCities	October	2	2011	8531
TwinCities	October	3	2010	8211
TwinCities	October	4	2009	8429
TwinCities	October	5	2008	7979
TwinCities	October	7	2007	7215
TwinCities	October	1	2006	8215
TwinCities	October	2	2005	7753
TwinCities	October	3	2004	7304
TwinCities	October	5	2003	7084
TwinCities	September	29	2002	6532
TwinCities	October	7	2001	6356
TwinCities	October	8	2000	5896
Vancouver	May	4	2014	3779
Vancouver	May	5	2013	3881
Vancouver	May	6	2012	4232
Vancouver	May	1	2011	3218
Vancouver	May	2	2010	3297
Vancouver	May	3	2009	2926
Vancouver	May	4	2008	3060
Vancouver	May	6	2007	3077
Vancouver	May	7	2006	3550
Vancouver	May	1	2005	4012
Vancouver	May	2	2004	4399
Vancouver	May	4	2003	4342
Vancouver	May	5	2002	3789
Vancouver	May	6	2001	3405
WaltDisneyWorld	January	12	2014	19191
WaltDisneyWorld	January	13	2013	20679
WaltDisneyWorld	January	8	2012	13467
WaltDisneyWorld	January	9	2011	13512
WaltDisneyWorld	January	10	2010	16874
WaltDisneyWorld	January	11	2009	14927
WaltDisneyWorld	January	13	2008	12951
WaltDisneyWorld	January	7	2007	10936
WaltDisneyWorld	January	8	2006	10125
WaltDisneyWorld	January	9	2005	7726
